# MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20 galID FHI Total_Ha_flux
8985 6102 444803 205.076050959 32.1531397042 0.0257795 0.684566 68.8304 4266120000.0 -19.3471 2109 53468 35 1916111 2.0 55.03 0.44763606032778935 9.75 329.2402892796091 190.68500087444028 8985-6102 1.8600000143051147 nan
8985 12704 444798 205.370073591 32.192681018 0.0155753 0.277174 41.9963 919950000.0 -17.6114 2109 53468 22 1916114 2.0 43.26 0.9063336701276155 9.069999694824219 250.82748599227898 317.4372748035066 8985-12704 1.0299999713897705 nan
8985 12702 439893 204.859583926 31.2079993813 0.0356097 0.461371 109.03 43839900000.0 -21.2924 2094 53851 418 1940089 2.0 20.18 0.8296845888864759 10.390000343322754 634.5754790680922 252.47763287966725 8985-12702 4.28000020980835 nan
8985 6103 445075 203.787835831 32.6615871636 0.0242498 0.583389 113.123 1498110000.0 -18.5088 2109 53468 495 1896205 2.0 86.7 0.57274330104638 9.350000381469727 288.1089033146953 295.49631109199515 8985-6103 0.8199999928474426 nan
8985 12703 445099 204.554359244 32.8228438761 0.0245119 0.783758 114.765 16458000000.0 -20.5786 2109 53468 553 1897306 2.0 25.16 0.47220986688767197 10.0 450.83750707191217 507.19219545590124 8985-12703 3.619999885559082 nan
8982 1901 484319 202.05702837 26.4565408846 0.024672 0.910181 117.836 2758720000.0 -18.6062 2245 54208 354 1990919 2.0 34.26 0.743930908203125 9.460000038146973 217.2806947230214 823.2524100061145 8982-1901 1.0199999809265137 nan
8982 12701 484081 201.66218 27.03962 0.0232741 0.243021 130.112 2986050000.0 -18.5145 2244 53795 586 2228066 2.0 35.94 0.6550183265037786 9.65999984741211 310.30255170142937 174.22302736724774 8982-12701 1.7999999523162842 nan
8982 9102 675886 202.6892 26.52161 0.0247191 0.511521 86.8796 1710340000.0 -18.6719 2245 54208 388 2226373 2.0 66.54 0.5025764067404821 9.720000267028809 271.1601587026868 100.08486544391015 8982-9102 1.8700000047683716 nan
8982 9101 484077 201.713650095 26.5912389132 0.0234728 0.774806 143.651 3173000000.0 -19.3249 2244 53795 581 2226345 1.0 2.0 1.2208658080590542 9.40999984741211 330.59207198171913 591.5858130199184 8982-9101 1.0199999809265137 nan
8982 1902 483802 201.920656754 26.0616332527 0.0240628 0.608015 153.198 3500230000.0 -18.8134 2244 53795 66 2224696 2.0 30.61 0.4936377308356068 9.5600004196167 375.3500621450613 151.14767603156832 8982-1902 1.340000033378601 nan
8982 12703 418482 203.806663432 27.6300360894 0.0255014 0.82505 169.29 1526370000.0 -18.6238 1978 53473 44 1967715 2.0 54.08 1.266281578563084 9.65999984741211 228.29444985484764 456.5888997096953 8982-12703 1.5199999809265137 nan
8949 12703 427495 195.866423768 28.5641675977 0.0158929 0.780949 101.609 595746000.0 -17.4442 2011 53499 32 1967545 2.0 65.92 1.1328170895303187 8.989999771118164 289.787877053624 222.54428127322507 8949-12703 0.8299999833106995 nan
8940 12701 173290 119.708713628 25.7462565372 0.0424393 0.942306 99.2698 3305560000.0 -19.5235 928 52578 636 877960 2.0 65.19 0.5625541950094288 10.100000381469727 337.56257607922635 896.1838302988309 8940-12701 1.559999942779541 nan
8940 6101 243510 121.86519837 25.1136095522 0.0201512 0.524509 1.85669 1112900000.0 -17.4289 1265 52705 437 1052636 1.0 2.0 0.7271743935032895 9.390000343322754 263.09456194160066 614.2788209618622 8940-6101 1.2400000095367432 nan
8940 12705 243484 121.365612425 24.7953158283 0.0463505 0.272419 115.733 8384960000.0 -19.7238 1265 52705 367 1095423 2.0 28.4 0.6937770169300528 10.039999961853027 440.6665740633262 148.62103795060293 8940-12705 1.149999976158142 nan
8940 6102 647069 120.866937654 25.1026825872 0.0275682 0.901509 10.1917 7528430000.0 -20.1519 1205 52670 95 1034965 1.0 2.0 0.8751232049707107 9.520000457763672 547.6472104935991 864.2196486270299 8940-6102 0.9599999785423279 nan
8940 6104 622351 122.433990327 25.8816065724 0.0256511 0.707567 25.7249 18147400000.0 -20.2827 0 0 0 -1 -1.0 -1.0 0.39703173753691884 9.75 121.70162717343989 600.0173246690525 8940-6104 1.9500000476837158 nan
8940 3704 230742 121.344103078 25.54201557 0.0169908 0.563972 4.02539 497775000.0 -17.6578 1205 52670 108 1034979 2.0 139.55 1.0470854277314112 9.039999961853027 234.9254425933002 116.25176540699393 8940-3704 0.8299999833106995 nan
8144 12701 161156 114.83597 27.36062 0.0267264 0.881587 73.4423 3529390000.0 -19.1428 888 52339 79 830208 2.0 39.31 0.8592239059768356 9.739999771118164 349.56029745121606 146.17976075232673 8144-12701 1.7100000381469727 nan
8144 12702 128087 114.162494128 28.5267670776 0.0512278 0.383642 90.9567 11927100000.0 -20.3732 754 52232 78 826603 2.0 47.9 0.3325547455687937 10.3100004196167 200.32877786911965 363.8403749406714 8144-12702 1.7300000190734863 nan
8144 3703 161343 115.650389413 28.2614765449 0.0157144 0.791851 60.4651 657948000.0 -17.5659 888 52339 636 780323 2.0 129.21 0.8574443616365132 8.699999809265137 109.70759424675683 222.69004205311833 8144-3703 0.46000000834465027 nan
8144 12703 128063 114.775045083 29.1600739978 0.0389089 0.938304 36.2208 49106300000.0 -21.6491 754 52232 1 826632 2.0 26.56 0.49831523142945183 10.0600004196167 610.1589771659218 610.1589771659218 8144-12703 1.7200000286102295 nan
8144 12705 589465 115.309868255 27.6140465302 0.0272534 0.247025 134.59 17778100000.0 -20.4285 4456 55537 76 -1 -1.0 -1.0 0.6810932731732474 9.899999618530273 385.9612848971138 296.1788469665018 8144-12705 2.4000000953674316 nan
8315 3701 341506 235.709491246 38.2238412017 0.0405057 0.837686 133.477 5050810000.0 -19.098 1680 53171 201 1370051 2.0 25.34 0.7723678467444463 9.729999542236328 238.02891045740898 261.8318015031499 8315-3701 0.7099999785423279 nan
8315 6101 341811 237.167053784 37.5082749292 0.0405526 0.961743 74.4019 3363280000.0 -19.6267 1681 53172 317 1370075 2.0 86.27 0.8576486728255004 10.020000457763672 788.4555959672527 985.5694949590659 8315-6101 1.399999976158142 nan
8315 9102 250701 235.208007294 38.5134589921 0.0437472 0.649533 26.7097 8541610000.0 -19.6669 1294 52753 603 1370045 2.0 31.56 1.0834805241087246 9.149999618530273 135.46688828155482 177.55368852436797 8315-9102 0.1599999964237213 nan
9491 3701 404942 119.106581421 17.9740538756 0.0415295 0.947347 171.85 2982600000.0 -18.9518 1921 53317 604 1876435 2.0 58.93 0.6844780541568822 9.770000457763672 309.17328556199845 468.44437206363403 9491-3701 0.7599999904632568 nan
9491 6101 404943 119.174377409 17.9911684239 0.0412448 0.697281 68.586 21494100000.0 -21.3349 1921 53317 605 1876438 2.0 53.41 0.43370419892592765 10.420000076293945 558.0373613280191 602.6803502342607 9491-6101 3.450000047683716 nan
8588 12701 633528 249.471809515 39.2498229771 0.0309035 0.338666 59.2252 17934800000.0 -20.2187 817 52381 182 565385 2.0 18.32 1.0035738063704864 10.199999809265137 503.7694181475694 570.7261129646514 8588-12701 3.6600000858306885 nan
8588 9102 633570 250.548892075 39.4554392222 0.0300258 0.919325 56.4726 9123950000.0 -20.0967 817 52381 36 567531 2.0 51.41 0.7147375353599862 9.819999694824219 304.9562221712078 503.17776658249284 8588-9102 1.6100000143051147 nan
8588 12702 687041 250.31305 39.29009 0.0305423 0.700968 83.2623 5826070000.0 -20.0637 818 52395 423 549731 2.0 57.74 0.7493468761105189 9.899999618530273 165.45317396775644 189.28964818345017 8588-12702 1.899999976158142 nan
8588 6102 143310 250.116709759 39.3201174959 0.0300793 0.789335 16.9009 58211700000.0 -21.4913 817 52381 30 549724 1.0 1.0 2.4745930560136324 10.3100004196167 1591.301753720134 2047.3554804771836 8588-6102 4.96999979019165 nan
8588 12704 143604 249.557305714 40.1468209363 0.030363 0.377239 163.706 22597100000.0 -20.6523 817 52381 535 549697 2.0 14.43 0.7760309903752172 8.359999656677246 390.87978494399886 395.19889858978894 8588-12704 0.05999999865889549 nan
8588 12705 143322 250.312873125 39.7523514003 0.0301398 0.355884 141.012 13115000000.0 -20.2067 817 52381 50 567518 2.0 21.94 0.6061250129632191 9.369999885559082 239.69264438715797 253.60337821319837 8588-12705 0.5699999928474426 nan
8588 3704 100626 250.969273528 39.9833981175 0.0299994 0.887811 123.397 14994600000.0 -20.2106 630 52050 306 529605 1.0 2.0 1.6626045786328665 9.149999618530273 217.29293466910133 275.9620270297587 8588-3704 0.3499999940395355 nan
8323 12702 429128 196.76151355 34.9786112828 0.0230085 0.387331 28.3521 403389000.0 -17.8723 2016 53799 251 1928648 2.0 170.54 0.9017319302378651 9.329999923706055 139.92222797361003 216.93368678079077 8323-12702 0.8600000143051147 nan
8323 12701 629813 196.370375041 33.8487234632 0.0237655 0.458082 1.32349 2217020000.0 -19.2568 2006 53476 598 1897067 2.0 88.66 0.4977437905947081 10.0600004196167 283.4932861980204 221.61975151194451 8323-12701 4.440000057220459 nan
7991 6104 25825 258.82741019 57.6587701679 0.0282021 0.464158 158.055 13733300000.0 -19.9673 355 51788 500 199771 1.0 1.0 1.8364492868822675 8.850000381469727 53.06223149248173 63.22308433146759 7991-6104 0.20000000298023224 nan
7991 12704 26065 261.321053643 56.9518773841 0.0250049 0.771182 172.648 2988670000.0 -19.1659 358 51818 382 728815 2.0 48.24 0.7123729280624509 9.430000305175781 353.43196922552676 383.27733551568235 7991-12704 0.9599999785423279 nan
7991 3704 25545 260.228215186 57.0979557846 0.0274682 0.501249 162.413 16499700000.0 -20.0846 355 51788 70 203411 1.0 1.0 1.2584362229007544 9.279999732971191 179.1279859498899 232.2885495221153 7991-3704 0.5799999833106995 nan
7991 12701 634120 257.752216191 56.9353408648 0.0288967 0.515362 7.49495 14401000000.0 -20.5137 0 0 0 -1 -1.0 -1.0 0.32490039926714603 9.890000343322754 486.5966636560117 512.2684300839068 7991-12701 2.1500000953674316 nan
7991 9101 25589 259.174725723 56.9277933688 0.0283133 0.456738 13.279 4995810000.0 -19.2327 355 51788 148 199837 2.0 27.08 0.7216262642262815 9.489999771118164 245.05361012610805 291.1416744158807 7991-9101 0.8500000238418579 nan
7991 6101 25688 257.582232587 56.7572501383 0.0328402 0.931379 98.6111 23941000000.0 -20.515 355 51788 297 198784 1.0 1.0 1.8536724853515625 9.319999694824219 722.4261778113099 705.9449722338655 7991-6101 0.4300000071525574 nan
8145 1901 212982 116.993596062 28.3248061942 0.0234804 0.760215 130.031 6781950000.0 -19.3282 1059 52618 498 -1 -1.0 -1.0 0.5407937599794708 9.520000457763672 315.5440506776664 320.16176849246153 8145-1901 1.2799999713897705 nan
8145 6103 212911 116.503038355 28.6996336807 0.0236372 0.865726 59.2208 3554770000.0 -19.1652 1059 52618 332 -1 -1.0 -1.0 0.6543264215642756 9.609999656677246 283.70595332356305 389.5962035077098 8145-6103 1.600000023841858 nan
8145 3702 212934 116.379533795 28.4410097037 0.0157646 0.54256 105.983 936023000.0 -18.232 1059 52618 389 -1 -1.0 -1.0 0.9982705703509852 9.199999809265137 213.09091253857588 226.1858848174828 8145-3702 1.4299999475479126 nan
8145 12701 212979 117.01332252 28.0282684125 0.0270985 0.28827 44.4928 7966730000.0 -19.6018 1059 52618 492 -1 -1.0 -1.0 0.8199071017178622 9.880000114440918 217.22122182565963 234.97487937871836 8145-12701 2.2899999618530273 nan
8145 9102 154259 116.660473878 26.4702171495 0.0153684 0.707949 161.931 865297000.0 -18.1383 858 52316 318 849455 2.0 78.54 0.7383263929834906 9.34000015258789 176.98775277170031 382.2935459868727 8145-9102 2.109999895095825 nan
8145 6101 622147 116.68564 26.741 0.0239233 0.54181 69.4604 1276490000.0 -18.7916 0 0 0 -1 -1.0 -1.0 0.6507106858856824 9.430000305175781 166.56732199441134 356.92997570231 8145-6101 1.0499999523162842 nan
8145 12704 161367 116.239350213 28.9275044259 0.0234717 0.932367 150.77 4365310000.0 -19.561 889 52663 41 780350 2.0 36.1 0.7672340731849467 9.489999771118164 337.47040961206454 207.4613173844659 8145-12704 1.2400000095367432 nan
8145 3701 589515 117.104737946 27.5752477768 0.0155801 0.663297 31.901 1291070000.0 -18.002 4459 55533 594 -1 -1.0 -1.0 0.6890296455594694 8.890000343322754 157.67891113812775 155.00638722053236 8145-3701 0.7200000286102295 nan
8145 12705 212978 117.009655727 28.4049993878 0.0157733 0.214692 72.2694 1208430000.0 -18.0827 1059 52618 489 -1 -1.0 -1.0 0.8654869028309373 9.449999809265137 192.4884843162532 429.00359004526644 8145-12705 2.5899999141693115 nan
8145 12703 212939 117.065788414 28.7153972947 0.0228708 0.615256 110.527 1116380000.0 -17.9455 1059 52618 412 -1 -1.0 -1.0 0.8195634045130235 9.460000038146973 267.6552990079653 273.99784163848585 8145-12703 1.2200000286102295 nan
8145 1902 589400 117.045741199 28.2302750745 0.0271584 0.653233 86.6153 14817600000.0 -20.1561 4452 55536 184 -1 -1.0 -1.0 0.5980189930308949 9.15999984741211 66.03650665306051 417.3507220473424 8145-1902 0.4399999976158142 nan
8941 9102 230902 121.625742505 26.8989373467 0.0255938 0.714927 105.077 19062300000.0 -20.4198 1205 52670 420 877420 1.0 0.0 0.18243167501100352 9.960000038146973 609.2685167824695 391.8769333295696 8941-9102 3.009999990463257 nan
8941 12701 173478 120.063604131 27.5899885407 0.0229455 0.757281 122.072 777852000.0 -17.9242 929 52581 323 861224 2.0 40.75 1.1928782609724486 9.199999809265137 218.95937446501623 194.46042347592348 8941-12701 0.6600000262260437 nan
8941 6104 230917 121.726700902 26.3742046649 0.0219922 0.445449 119.141 1873350000.0 -18.6459 1205 52670 442 1036370 2.0 81.92 0.7118685684540198 9.329999923706055 205.5160243918901 180.94345625807716 8941-6104 0.9599999785423279 nan
8941 6102 231004 122.115480415 26.3725704363 0.0272935 0.323482 97.7742 3642020000.0 -18.5387 1205 52670 620 1065344 2.0 22.18 0.734996523542648 9.59000015258789 269.48927297012614 46.50010984582568 8941-6102 1.149999976158142 nan
8941 3702 173566 120.008018002 27.1145361383 0.0426423 0.86846 78.632 3017020000.0 -19.7863 929 52581 475 879460 2.0 111.58 0.28487222686068703 9.960000038146973 520.4138962985515 286.42935377672217 8941-3702 1.1200000047683716 nan
8941 12703 231093 122.727067782 26.6967401924 0.0365237 0.545909 42.4836 2040110000.0 -18.7498 1206 52670 208 1065360 2.0 63.4 0.5349506808767637 9.930000305175781 282.8687270344007 168.28898950147888 8941-12703 1.409999966621399 nan
8941 3701 173374 120.059598154 26.6980146136 0.0279985 0.789043 27.9099 10746100000.0 -19.7542 929 52581 141 878645 1.0 1.0 1.4913549564154864 10.029999732971191 835.0452408456434 138.36032255727036 8941-3701 3.0399999618530273 nan
8941 12705 647149 121.990988994 26.0289828842 0.0141405 0.695638 145.078 1733990000.0 -18.0599 4458 55536 54 -1 -1.0 -1.0 0.7369126399888118 9.25 257.5193950236562 339.6472020852547 8941-12705 1.9900000095367432 nan
8941 6101 647010 120.26105164 26.8041160655 0.042296 0.522866 91.757 6586540000.0 -19.3744 0 0 0 -1 -1.0 -1.0 0.7490134526589407 9.899999618530273 202.9528130829037 227.5887036883429 8941-6101 1.0199999809265137 nan
8941 12704 173311 121.158813939 26.9417279368 0.0139907 0.306102 173.645 758596000.0 -17.7336 1205 52670 370 878010 2.0 64.93 0.6991388144107495 9.079999923706055 216.38684523810736 148.1094426144327 8941-12704 1.3600000143051147 nan
8941 12702 231120 122.238861621 26.6429539534 0.0218568 0.413372 81.2168 1008890000.0 -17.7389 1206 52670 289 1036393 2.0 35.49 0.8101056824905728 9.260000228881836 218.5462911308058 438.1908048301081 8941-12702 0.8299999833106995 nan
8983 12701 676280 203.830208122 26.424780837 0.0253738 0.747687 77.0402 11534300000.0 -20.1944 2245 54208 508 2226394 2.0 23.54 0.6451258738806229 10.149999618530273 536.1031467348965 135.5316943992716 8983-12701 4.769999980926514 nan
8983 12702 484137 203.809658755 25.5823074729 0.0352982 0.87525 24.5676 1485110000.0 -18.4662 2245 54208 44 2223186 2.0 48.94 0.9074185515103275 9.640000343322754 328.73599520960266 90.97096722781457 8983-12702 0.7699999809265137 nan
8983 3703 484708 205.438406961 27.0047377781 0.0289385 0.660855 167.057 21199600000.0 -20.7961 2246 53767 415 2229753 2.0 25.56 0.2400646083402318 9.579999923706055 385.069635871436 524.9738288351065 8983-3703 1.0099999904632568 nan
8983 12705 676316 203.910044306 25.8752373782 0.0256173 0.536597 65.2185 12305900000.0 -20.1124 2245 54208 114 2224767 2.0 30.21 0.4887452556228483 9.789999961853027 412.4011170472003 457.43342293166467 8983-12705 2.049999952316284 nan
8983 6102 484567 205.182894265 25.9083558727 0.0312555 0.92045 52.7874 10571400000.0 -19.7696 2246 53767 171 1991046 2.0 0.0 0.6472110733982324 9.100000381469727 138.15676820404485 253.28740837408222 8983-6102 0.2800000011920929 nan
8984 9102 676293 203.850240471 27.9118899255 0.0268301 0.514209 154.504 12111800000.0 -19.9742 1978 53473 60 1977914 1.0 2.0 0.19222358895950958 9.630000114440918 424.408174048154 299.6508261823505 8984-9102 1.2999999523162842 nan
8984 12701 418602 201.733433101 28.5609112714 0.0235308 0.93869 132.446 1296540000.0 -18.4357 1978 53473 280 1979897 2.0 70.65 1.1744024734329146 9.380000114440918 292.95541547312905 461.18723822007445 8984-12701 0.9300000071525574 nan
8984 3702 418576 202.046007623 28.6555565883 0.0367586 0.746142 8.22159 2601580000.0 -18.3515 1978 53473 227 1979905 1.0 2.0 2.156263496717598 9.640000343322754 331.9380721312412 150.19822268381955 8984-3702 0.6899999976158142 nan
8984 3704 484406 203.550636109 27.0031738715 0.0355294 0.484329 175.377 15797800000.0 -20.1857 2245 54208 532 2243808 1.0 1.0 0.3461124098841624 10.0600004196167 493.7786480879893 251.4613485633279 8984-3704 2.009999990463257 nan
8984 12702 484403 203.595697436 27.4613412409 0.0391295 0.869619 176.851 1382630000.0 -18.9594 2245 54208 523 2244838 2.0 77.11 0.7129031984087227 9.75 344.32234790343455 301.78841080948087 8984-12702 0.8199999928474426 nan
8984 12705 484418 204.353484976 27.4192185178 0.0365577 0.783275 35.0577 61737800000.0 -21.7818 2245 54208 561 2244856 2.0 20.55 0.34473052695340384 10.199999809265137 648.2482898729935 326.5369797623267 8984-12705 2.5899999141693115 nan
8984 12703 676325 203.93243 27.40942 0.0289429 0.94945 26.6556 6684460000.0 -19.731 2245 54208 566 2244846 2.0 38.01 1.0966193589736342 9.5600004196167 159.27711254659886 1293.3301538783828 8984-12703 0.949999988079071 nan
8465 3701 300318 195.319316171 48.0601858091 0.0299815 0.606717 49.3618 8833010000.0 -20.3234 1457 53116 638 1173115 2.0 152.56 0.7246938251778293 9.850000381469727 303.17595980379804 376.13946880222244 8465-3701 1.7400000095367432 nan
8465 12701 300713 195.973168318 47.3864444591 0.0236717 0.881157 170.562 8037270000.0 -20.0791 1459 53117 406 1205726 2.0 49.54 0.7144014490085545 9.539999961853027 253.7943335477042 281.28871968203885 8465-12701 1.3700000047683716 nan
8465 6102 247905 197.549698095 48.6233927144 0.028277 0.75393 69.8811 1738150000.0 -18.8021 1281 52753 192 -1 -1.0 -1.0 0.05691486802594415 9.399999618530273 319.65671484899923 339.4449876729849 8465-6102 0.6899999976158142 nan
8465 12705 301310 198.236315095 47.4566280096 0.0281378 0.688471 22.5099 31165300000.0 -20.9174 1461 53062 322 1206970 2.0 18.9 0.8523887425695514 9.670000076293945 613.5697888323404 597.0240866615807 8465-12705 1.2999999523162842 nan
8465 3702 300840 198.244775533 47.8281954499 0.0365124 0.646334 76.6769 1075340000.0 -18.3916 1459 53117 625 1208130 2.0 86.99 1.17282984510039 9.279999732971191 140.22587180653872 222.78876829076245 8465-3702 0.3199999928474426 nan
8465 1901 247928 197.44581469 48.8995914034 0.0288883 0.866448 14.9265 11407600000.0 -19.7293 1281 52753 231 892095 1.0 1.0 1.7030983749701052 9.34000015258789 472.692658783158 536.7865786181625 8465-1901 0.5799999833106995 nan
8462 9102 318756 144.732148921 35.695160225 0.0200675 0.324241 143.134 3099210000.0 -18.664 1594 52992 415 1158390 2.0 27.42 0.7000700739503817 9.149999618530273 176.53752633082112 199.79396692530054 8462-9102 0.7200000286102295 nan
8462 12701 318738 144.46813253 35.7836866039 0.0224688 0.485414 53.9476 2627960000.0 -18.7906 1594 52992 373 1158389 2.0 59.23 0.6981569281547918 9.390000343322754 255.06573681595188 339.706384907344 8462-12701 1.0399999618530273 nan
9510 9102 244084 127.202157103 28.9205030761 0.0299483 0.937305 77.426 8310490000.0 -19.7336 1267 52932 523 1098018 2.0 38.34 0.7330074435217254 9.479999542236328 413.18737114440626 312.75988510236306 9510-9102 0.7400000095367432 nan
